zone;int;intmax;%;x;y;name
18;315;1500;21,00;435699,628977867;4471990,09430494;VALMOJADO ENTRE VALMOJADO Nº53 Y Nº 49 SENTIDO S-N
18;315;1500;21,00;435726,352030666;4472047,81771279;VALMOJADO ENTRE VALMOJADO Nº 43 Y SESEÑA SENTIDO O-E
18;315;1500;21,00;436203,350958537;4471338,00082948;YEBENES N-S(COLEGIO H.CORTES-ILLESCAS)
18;305;1500;20,33;435581,029888549;4470766,3131944;OCAÑA O-E(CAMARENA-VALMOJADO)
18;0;1500;0,00;435570,735487313;4470768,21995687;(TACTICO) OCAÑA O-E(VALMOJADO-GIRO IZDA. CAMARENA)
18;90;1500;6,00;435865,440440061;4471508,68938685;CAMARENA ENTRE CAMARENA Y ILLESCAS SENTIDO S-N
18;225;1500;15,00;435862,063066535;4471553,42175759;CAMARENA ENTRE CAMARENA Y ILLESCAS SENTIDO N-S
18;0;1800;0,00;435633,475085632;4471293,73358855;VALMOJADO ENTRADA CRUCE SENTIDO E-O
18;135;1800;7,50;435431,467414773;4471615,23344393;(TACTICO) TEMBLEQUE O-E
18;0;1500;0,00;435645,825763664;4471610,56292581;(TACTICO)VALMOJADO N-S(GIRO ILLESCAS OESTE)
18;90;1500;6,00;435644,912897672;4471571,36901208;(TACTICO)VALMOJADO S-N(GIRO ILLESCAS ESTE)
18;265;1500;17,67;435480,5679655;4470938,84691292;(MICRO)OCAÑA GIRO IZDA(VALMOJADO-AV. LAS AGUILAS)
18;796;3000;26,53;436078,586197975;4469861,66530958;AV. POBLADOS O-E(CONSUELO GUZMAN-EUGENIA MONTIJO)
18;644;3000;21,47;436556,660841909;4469699,98731893;AV. POBLADOS E-O(CARABANCHEL BAJO-EUGENIA MONTIJO)
18;76;1500;5,07;436603,742519846;4469624,12260278;(TACTICO)CARABANCHEL BAJO S-N(CHIRIVITA-AV. POBLADOS)
56;152;1500;10,13;436989,527171673;4469495,00760966;ALISEDA ENTRADA CRUCE  N-S
56;872;3000;29,07;437311,96344486;4469503,10875407;AV. POBLADOS O-E(AV. EURO-AV. ABRANTES)
56;493;3000;16,43;437278,564197101;4469568,03243395;BELZUNEGUI N-S(REAL MADRID-AV. POBLADOS)
18;1061;1400;75,79;435668,604184049;4470450,78663773;(TACTICO) AV. POBLADOS O-E (GIRO A ERICA)
56;227;1500;15,13;437533,78830063;4469602,04980739;AV. ABRANTES N-S(BESOLLA-AV. POBLADOS)
56;1705;4500;37,89;437533,150740201;4469505,87122793;AV. POBLADOS O-E(AV. ABRANTES-VIA LUSITANA)
56;758;4500;16,84;437595,529099767;4469379,23883701;VIA LUSITANA S-N(HALCONERO REY-AV. POBLADOS)
56;1288;3000;42,93;437863,918117027;4469474,10252335;AV. POBLADOS E-O(ANTONIO ROMERO-VIA LUSITANA)
56;947;4500;21,04;437612,22110032;4469507,23885001;AV. POBLADOS E-O(VIA LUSITANA-ABRANTES)
18;455;3000;15,17;436291,047620203;4469760,19534088;EUGENIA MONTIJO S-N(JERONIMO IBORRA-AV. POBLADOS)
18;0;1500;0,00;436246,564932966;4469517,35955596;(TACTICO) JERONIMO IBORRA E-O(PL. SEIS DICIEMBRE-EUGENIA MONTIJO)
18;189;1500;12,60;436189,08101333;4469470,95013382;(TACTICO)JOAQUIN TURINA S-N(GUITARRA-CARABANCHEL ALTO)
18;568;3000;18,93;436431,882684861;4469939,30720937;(AFOROS)EUGENIA MONTIJO N-S(NTRA. SRA. FATIMA-AV. POBLADOS)
18;265;1500;17,67;436438,493848982;4469938,41588732;(TACTICO)EUGENIA MONTIJO GIRO S-N(AV. POBLADOS-FEDERICO GRASES)
18;114;1200;9,50;436446,218968409;4469982,44964089;(TACTICO) NTRA. SRA. FATIMA O-E (PINGÜINO-EUGENIA MONTIJO)
56;257;3000;8,57;436565,718891268;4469368,13789319;GUAYABA S-N(AGUACATE-ANTONIA RGUEZ. SACRISTAN )
56;379;3000;12,63;437306,271885412;4469373,01676715;AV. EURO S-N(OBOLO-AV. POBLADOS)
56;227;1500;15,13;438726,62348153;4469452,75500649;TANATORIO ENTRADA CRUCE  S-N
56;720;4500;16,00;438746,702926246;4469474,35150097;AV.POBLADOS O-E(ILDEFONSO GLEZ. VALENCIA-CTRA. TOLEDO)
56;152;4500;3,38;438895,548741023;4469616,93927155;LATERAL C.TOLEDO N-S(PL. ELIPTICA-AV. POBLADOS)
56;1099;3000;36,63;439091,040999907;4469502,78070184;AV. POBLADOS E-O(GUETARIA-CTRA. TOLEDO)
56;947;3000;31,57;438904,87489023;4469364,44025111;LATERAL CTRA. TOLEDO S-N (M-40-AV. POBLADOS)
56;720;3000;24,00;438159,241692156;4469433,57288611;AV.DE LOS POBLADOS ENTRE A. ROMERO Y POLAN O-E
56;152;3000;5,07;438351,498220049;4469402,1758502;VENTURA DIAZ BERNARDO S-N(HALCONERO REY-AV. POBLADOS)
56;796;3000;26,53;438457,643182829;4469462,72890126;AV. POBLADOS E-O(UGENA-POLAN)
56;114;1500;7,60;438345,016616123;4469501,42559806;POLAN N-S(CAZALEGAS-AV. POBLADOS)
18;152;1600;9,50;436394,66089216;4469881,02107022;(AFOROS)EUGENIA MONTIJO S-N(AV. POBLADOS-NTRA. SRA. FATIMA)FRENTE
